ozmovies,wikidata,description
http://www.ozmovies.com.au/movie/(...maybe-this-time),Q6796943,"Maybe This Time (Chris McGill, 1980)"
http://www.ozmovies.com.au/movie/...couldnt-be-fairer.,Q5176122,"Couldn't Be Fairer (Dennis O'Rourke, 1984)"
http://www.ozmovies.com.au/movie/13-gantry-row,Q16609624,"13 Gantry Row (Catherine Millar, 1998)"
http://www.ozmovies.com.au/movie/13th-floor,Q7711759,"The 13th Floor (Chris Roache, 1988)"
http://www.ozmovies.com.au/movie/14s-good-18s-better,Q123306863,"14's Good, 18's Better (Gillian Armstrong, 1981)"
http://www.ozmovies.com.au/movie/15-amore,Q4550854,"15 Amore (Maurice Murphy, 1999)"
http://www.ozmovies.com.au/movie/2-friends,Q232181,"Two Friends (Jane Campion, 1986)"
http://www.ozmovies.com.au/movie/2000-weeks,Q4597966,"2000 Weeks (Tim Burstall, 1969)"
http://www.ozmovies.com.au/movie/27a,Q4632540,"27A (Esben Storm, 1974)"
http://www.ozmovies.com.au/movie/3-to-go,Q7798017,"Three to Go (Brian Hannant/Peter Weir, 1971)"
http://www.ozmovies.com.au/movie/88.9-radio-redfern,Q123374236,88.9 Radio Redfern (1988)
http://www.ozmovies.com.au/movie/Patrick,,
http://www.ozmovies.com.au/movie/a.p.g.s-dimboola,,
http://www.ozmovies.com.au/movie/abba--the-movie,Q1309886,"ABBA: The Movie (Lasse Hallström, 1977)"
http://www.ozmovies.com.au/movie/abc-of-love-and-sex-australia-style,Q7712052,"The ABC of Love and Sex: Australia Style (John D. Lamond, 1978)"
http://www.ozmovies.com.au/movie/abra-cadabra,Q4668693,"Abra Cadabra (Alex Stitt, 1983)"
http://www.ozmovies.com.au/movie/adams-woman,Q3281502,"Adam's Woman (Philip Leacock, 1970)"
http://www.ozmovies.com.au/movie/adventures-of-barry-mckenzie,Q7712494,"The Adventures of Barry McKenzie (Bruce Beresford, 1972)"
http://www.ozmovies.com.au/movie/adventures-of-priscilla--queen-of-the-desert,Q255328,"The Adventures of Priscilla, Queen of the Desert (Stephan Elliott, 1994)"
http://www.ozmovies.com.au/movie/africas-elephant-kingdom,Q77885190,"Africa's Elephant Kingdom (Michael Caulfield, 1998)"
http://www.ozmovies.com.au/movie/against-the-grain,Q20022600,Against the Grain: More Meat Than Wheat (1981)
http://www.ozmovies.com.au/movie/against-the-innocent,Q27703239,"Against the Innocent (Daryl Dellora, 1989)"
http://www.ozmovies.com.au/movie/age-of-consent,Q4691874,"Age of Consent (Michael Powell, 1969)"
http://www.ozmovies.com.au/movie/airhawk-star-of-the-north,Q123305363,"Airhawk: Star Of The North (David Baker, 1982)"
http://www.ozmovies.com.au/movie/alex,,
http://www.ozmovies.com.au/movie/alexandras-project,Q180363,"Alexandra's Project (Rolf de Heer, 2003)"
http://www.ozmovies.com.au/movie/alisons-birthday,Q4727001,"Alison's Birthday (Ian Coughlan, 1981)"
http://www.ozmovies.com.au/movie/all-at-sea,Q15039376,"All at Sea (Igor Auzins, 1977)"
http://www.ozmovies.com.au/movie/all-men-are-liars,Q4729070,"All Men Are Liars (Gerard Lee, 1995)"
http://www.ozmovies.com.au/movie/all-the-way,,
http://www.ozmovies.com.au/movie/all-the-way-(documentary),,
http://www.ozmovies.com.au/movie/almost-an-angel,Q288628,"Almost an Angel (John Cornell, 1990)"
http://www.ozmovies.com.au/movie/alvin-purple,Q4738201,"Alvin Purple (Tim Burstall, 1972)"
http://www.ozmovies.com.au/movie/alvin-rides-again,Q4738206,"Alvin Rides Again (David Bilcock/Robin Copping, 1974)"
http://www.ozmovies.com.au/movie/always-another-dawn,Q4738397,"Always Another Dawn (T.O. McCreadie, 1948)"
http://www.ozmovies.com.au/movie/amy,,
http://www.ozmovies.com.au/movie/and-the-word-was-made-flesh,Q4753453,And the Word Was Made Flesh (1972)
http://www.ozmovies.com.au/movie/angel-at-my-table,Q1304431,"An Angel at My Table (Jane Campion, 1990)"
http://www.ozmovies.com.au/movie/angel-baby,Q4762078,"Angel Baby (Michael Rymer, 1995)"
http://www.ozmovies.com.au/movie/angst,Q4763958,"Angst (Daniel Nettheim, 2000)"
http://www.ozmovies.com.au/movie/animated,,
http://www.ozmovies.com.au/movie/annies-coming-out,Q4769203,"Annie's Coming Out (Gil Brealey, 1984)"
http://www.ozmovies.com.au/movie/antarctica,Q85741919,Antarctica (1991)
http://www.ozmovies.com.au/movie/apostasy,,
http://www.ozmovies.com.au/movie/arguing-the-toss-of-a-cat,Q123307476,"Arguing The Toss Of A Cat (Christine Sammers, 1987)"
http://www.ozmovies.com.au/movie/army-wives,Q16962022,"Army Wives (Denny Lawrence, 1987)"
http://www.ozmovies.com.au/movie/around-the-world-in-80-ways,Q4795652,"Around the World in 80 Ways (Stephen MacLean, 1987)"
http://www.ozmovies.com.au/movie/around-the-world-with-dot,Q16833856,"Around the World with Dot (Yoram Gross, 1981)"
http://www.ozmovies.com.au/movie/as-time-goes-by,Q3422550,"As Time Goes By (Barry Peak, 1988)"
http://www.ozmovies.com.au/movie/assault-on-salamaua,Q19839877,"Assault on Salamaua (Ken G. Hall, 1943)"
http://www.ozmovies.com.au/movie/at-last-...-bullamakanka-the-motion-picture,Q4812357,"At Last... Bullamakanka: The Motion Picture (Simon Heath, 1983)"
http://www.ozmovies.com.au/movie/attack-force-z,Q463579,"Attack Force Z (Tim Burstall, 1982)"
http://www.ozmovies.com.au/movie/audacious,Q123287855,"Audacious (Samantha Lang, 1995)"
http://www.ozmovies.com.au/movie/aussie-assault,Q123303672,"Aussie Assault (Harvey Spencer, 1983)"
http://www.ozmovies.com.au/movie/australia-after-dark,Q4823558,"Australia After Dark (John D. Lamond, 1975)"
http://www.ozmovies.com.au/movie/australian-dream,Q4824097,"Australian Dream (Jackie McKimmie, 1986)"
http://www.ozmovies.com.au/movie/australian-rules,Q4824629,"Australian Rules (Paul Goldman, 2002)"
http://www.ozmovies.com.au/movie/australian-summer,,
http://www.ozmovies.com.au/movie/avenger,Q7715011,"The Avenger (A.R. Harwood, 1937)"
